student_id,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Total_Family_Education,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,support_sch_or_fam,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,Total_alc,health,absences,G1,G2,G3,Subject,Concat,Count,Average_Grade
1,GP,F,18,U,GT3,A,4,4,8,at_home,teacher,course,mother,2,2,0,yes,no,1,no,no,yes,yes,no,no,4,3,4,1,1,2,3,4,0,11,11,por,yesnoUnono4yes420no18GT3A4at_hometeachercourse3noFyesGP2mother41134,1,7.333333333
2,GP,F,17,U,GT3,T,1,1,2,at_home,other,course,father,1,2,0,no,yes,1,no,no,no,yes,yes,no,5,3,3,1,1,2,3,2,9,11,11,por,noyesUyesno5no120no17GT3T1at_homeothercourse3noFyesGP1father31132,1,10.33333333
3,GP,F,15,U,LE3,T,1,1,2,at_home,other,other,mother,1,2,0,yes,no,1,no,no,yes,yes,yes,no,4,3,2,2,3,5,3,6,12,13,12,por,yesyesUnono4yes120no15LE3T1at_homeotherother3noFyesGP1mother22336,1,12.33333333
4,GP,F,15,U,GT3,T,4,2,6,health,services,home,mother,1,3,0,no,yes,1,no,yes,yes,yes,yes,yes,3,2,2,1,1,2,5,0,14,14,14,por,noyesUyesyes3yes230no15GT3T4healthserviceshome2yesFyesGP1mother21150,1,14
5,GP,F,16,U,GT3,T,3,3,6,other,other,home,father,1,2,0,no,yes,1,no,no,yes,yes,no,no,4,3,2,1,2,3,5,0,11,13,13,por,nonoUyesno4yes320no16GT3T3otherotherhome3noFyesGP1father21250,1,12.33333333
6,GP,M,16,U,LE3,T,4,3,7,services,other,reputation,mother,1,2,0,no,yes,1,no,yes,yes,yes,yes,no,5,4,2,1,2,3,5,6,12,12,13,por,noyesUyesyes5yes320no16LE3T4servicesotherreputation4noMyesGP1mother21256,1,12.33333333
8,GP,F,17,U,GT3,A,4,4,8,other,teacher,home,mother,2,2,0,yes,yes,2,no,no,yes,yes,no,no,4,1,4,1,1,2,1,2,10,13,13,por,yesnoUyesno4yes420no17GT3A4otherteacherhome1noFyesGP2mother41112,1,12
9,GP,M,15,U,LE3,A,3,2,5,services,other,home,mother,1,2,0,no,yes,1,no,no,yes,yes,yes,no,4,2,2,1,1,2,1,0,15,16,17,por,noyesUyesno4yes220no15LE3A3servicesotherhome2noMyesGP1mother21110,1,16
10,GP,M,15,U,GT3,T,3,4,7,other,other,home,mother,1,2,0,no,yes,1,no,yes,yes,yes,yes,no,5,5,1,1,1,2,5,0,12,12,13,por,noyesUyesyes5yes420no15GT3T3otherotherhome5noMyesGP1mother11150,1,12.33333333
11,GP,F,15,U,GT3,T,4,4,8,teacher,health,reputation,mother,1,2,0,no,yes,1,no,no,yes,yes,yes,no,3,3,3,1,2,3,2,2,14,14,14,por,noyesUyesno3yes420no15GT3T4teacherhealthreputation3noFyesGP1mother31222,1,14
12,GP,F,15,U,GT3,T,2,1,3,services,other,reputation,father,3,3,0,no,yes,1,no,yes,yes,yes,yes,no,5,2,2,1,1,2,4,0,10,12,13,por,noyesUyesyes5yes130no15GT3T2servicesotherreputation2noFyesGP3father21140,1,11.66666667
